ID,Nombre,Precio,Precio Texto,Categoría,Descripción
torta-vintage,Torta Vintage,95000,Desde $95.000,tortas,"Torta vintage con decoración artesanal, flores en fondant y acabado rústico elegante. Cada torta es única y personalizada según tus preferencias."
torta-sencilla,Torta Sencilla,70000,Desde $70.000,tortas,"Torta sencilla y elegante con acabado liso en crema. Perfecta para quienes buscan un diseño minimalista pero delicioso."
extra-monos,Moños (Lazitos),2000,"$2.000 - $3.000",extras,"Hermosos lazos decorativos para darle un toque tierno a tu torta."
extra-mariposas,Mariposas,2000,"$2.000 - $3.000",extras,"Mariposas comestibles o decorativas que dan vida y movimiento."
extra-hbd,Happy Birthday,5000,"$5.000 - $8.000",extras,"Topper de Happy Birthday en diversos estilos y colores."
extra-perlas,Perlas Comestibles,5000,"$5.000 - $10.000",extras,"Perlas en mayor cantidad para un acabado lujoso."
extra-coronas,Coronas Especiales,0,Precio en asesoría,extras,"Diseños personalizados y únicos de coronas."
alfajor-personalizado,Alfajores Personalizados,60000,$60.000,alfajores,"Alfajores de maicena personalizados con diseños únicos para tus celebraciones. Cada alfajor es decorado artesanalmente con fondant y detalles especiales según tu ocasión."
caja-x6,Caja x6 Alfajores,16000,$16.000,alfajores,"Deliciosos alfajores de maicena rellenos de arequipe. Perfectos para compartir o regalar. Presentación en caja elegante."
caja-x12,Caja x12 Alfajores,32000,$32.000,alfajores,"Docena de alfajores de maicena rellenos de arequipe. Ideal para compartir en reuniones o como regalo especial."
vaso-minis,Vaso de Mini Alfajores,14000,$14.000,alfajores,"Vaso decorativo lleno de mini alfajores. Perfecto para regalar o disfrutar en porciones pequeñas."
torta-alfajor,Torta de Alfajor,50000,Desde $50.000,alfajores,"Torta especial hecha con capas de alfajor de maicena, relleno de arequipe y cobertura de chocolate. Una experiencia única y deliciosa."
alfajor-individual,Alfajores Individuales,2000,Desde $2.000,alfajores,"Alfajores de maicena individuales empacados en bolsas. Se venden a partir de 6 unidades por referencia o tamaño."
brownies,Brownies,6500,Desde $6.500,brownies,"Brownie melcochudo a base de Nutella y chocolate al 70%. Toppings a tu elección: Nutella, Arequipe, M&M, Hershey's blanca y Galleta Oreo."
galletas,Galletas,8000,Desde $8.000,galletas,"Galletas artesanales horneadas diariamente con ingredientes premium. Cada una tiene su relleno especial según el sabor."
oso-pequeno,Oso Pequeño,27000,$27.000,detalles,"Adorable oso de chocolate acompañado de mini alfajores y galletas. Perfecto para sorprender con un detalle dulce y especial."
oso-grande,Oso Grande,49000,$49.000,detalles,"Oso de chocolate de tamaño grande acompañado de brownie, alfajores y galletas. Ideal para celebraciones especiales."
oso-fresas,Oso con Fresas,59000,$59.000,detalles,"Oso de chocolate con fresas cubiertas, brownie y galleta. La combinación perfecta entre chocolate y frescura."
detalle-brownie,Detalle Brownie,60000,$60.000,detalles,"Brownie de 4-6 porciones con mensaje personalizado, acompañado de galleta y mini alfajores."
detalle-hbd,Detalle HBD,92000,$92.000,detalles,"Mini torta de cumpleaños con letras personalizadas, alfajores, galletas y trufas."
detalle-margarita,Detalle Margarita,65000,$65.000,detalles,"Variedad de delicias: alfajores, frambuesas cubiertas, mini galletas y brownie."
detalle-mix-1,Detalle Mix,50000,$50.000,detalles,"Letras personalizadas en chocolate, mini alfajores, chocolatina y galletas."
detalle-mix-2,Detalle Mix 2,56000,$56.000,detalles,"Letras en chocolate, alfajores, chocolatina y brownies con arequipe."
detalle-golden-1,Detalle Golden,83000,$83.000,detalles,"Mini torta vasca, trufas de oreo, brownie grande y alfajor especial."
detalle-golden-2,Detalle Golden Rosa,86000,$86.000,detalles,"Mini torta vasca, trufas, brownie y mini galletas."
detalle-golden-3,Detalle Golden Mostacho,88000,$88.000,detalles,"Mini torta vasca, trufas, galleta especial y alfajores."
detalle-torta,Detalle con Torta,105000,$105.000,detalles,"Torta de 5 porciones personalizada con frase o número, acompañada de alfajores medianos."
